country,industry,rows,companies,avg_ai_adoption_level,avg_ai_investment_usd,avg_productivity_gain,avg_roi
Australia,Telecom,413,400,0.5339486682808717,4316016.89346247,0.38439346246973366,0.7854955525303972
Australia,Energy,438,423,0.5319212328767123,5028421.502283105,0.42313424657534243,0.6853508223579992
Australia,Healthcare,700,671,0.524127,4371510.005714286,0.33969457142857146,0.6380366047679514
Australia,Financial Services,826,786,0.5229142857142858,7078059.608958838,0.39976694915254235,0.7701415094476914
Australia,Technology,1084,1016,0.5185683579335794,5799274.873616236,0.37567546125461254,1.2769678845140808
Australia,Retail,598,576,0.5137204013377926,2195055.1672240803,0.35247591973244147,0.8309422423416585
Australia,Manufacturing,875,828,0.5134736,3503585.046857143,0.42853497142857144,0.6262017407532625
Australia,Education,235,231,0.5081872340425532,720269.7063829787,0.2989995744680851,0.47958407478262916
Australia,Logistics,477,467,0.5047142557651992,2798246.8784067086,0.4139060796645702,0.7028896683369587
Australia,Agriculture,314,304,0.5016047770700637,1136962.49044586,0.38647866242038215,0.5535298245365071
Brazil,Energy,537,516,0.5062463687150839,3213817.2960893856,0.39414841713221604,0.6454685550017799
Brazil,Retail,774,736,0.4965217054263566,1332853.9870801033,0.3354374677002584,0.7779342359077382
Brazil,Technology,1457,1343,0.49238599862731636,3521373.2642415925,0.350736925188744,1.2239597413713224
Brazil,Manufacturing,1163,1086,0.4911368873602751,2204142.2072227,0.40283499570077386,0.6003662601544869
Brazil,Healthcare,971,898,0.48986930998970135,2682039.1822863026,0.3121700308959835,0.6219019737138382
Brazil,Financial Services,1132,1043,0.4892621024734982,4334211.780035336,0.3658358657243816,0.7490036724788449
Brazil,Agriculture,395,389,0.48236860759493666,723765.346835443,0.3593154430379747,0.5476668623813732
Brazil,Logistics,602,580,0.48069601328903655,1729755.3255813953,0.38790348837209304,0.6723123850689309
Brazil,Education,302,297,0.4588907284768212,425469.14238410594,0.2637596026490066,0.4377178017300821
Brazil,Telecom,598,574,0.4566466555183947,2467003.1488294313,0.3249016722408027,0.7016923510944562
Canada,Telecom,671,643,0.54155782414307,4944123.338301043,0.39528450074515653,0.7699134213330232
Canada,Education,377,366,0.5411244031830238,830227.9496021221,0.3172816976127321,0.4886171023013864
Canada,Healthcare,1232,1156,0.5398944805194805,4927130.297889611,0.35623676948051947,0.6616221698364468
Canada,Energy,740,711,0.5345031081081081,5662479.036486487,0.4300085135135135,0.6887267699577472
Canada,Retail,1002,950,0.5341424151696607,2412370.4510978046,0.3689921157684631,0.8321654384471586
Canada,Financial Services,1386,1279,0.5301005772005771,8212511.0735930735,0.40696558441558445,0.7855444200121362
Canada,Manufacturing,1529,1393,0.5256703073904513,3927554.8763897973,0.43995134074558534,0.6363509828709166
Canada,Agriculture,531,509,0.5249702448210923,1247021.0998116762,0.4016749529190207,0.5869357156741942
Canada,Technology,1811,1642,0.524401325234677,6291587.911098841,0.38334732192159027,1.3058509140210681
Canada,Logistics,835,787,0.521580119760479,3128962.832335329,0.42915029940119764,0.714539796093271
China,Agriculture,1818,1622,0.5352272827282728,1412183.0099009902,0.40831666666666666,0.5748699233019203
China,Energy,2485,2130,0.5351123138832998,6129004.654325956,0.42815915492957746,0.679901653124239
China,Financial Services,5023,3683,0.5299260402150109,8707659.992036631,0.4067838940871989,0.7877367738318639
China,Telecom,2517,2157,0.5298140246324989,5181327.149384188,0.3878724672228844,0.7677526873439974
China,Manufacturing,5293,3837,0.5296634422822596,4355118.434725109,0.4436783487625165,0.6436745097690364
China,Healthcare,4294,3329,0.5296165579878901,5211049.30647415,0.348888821611551,0.6577481328864796
China,Logistics,2902,2426,0.529172467263956,3446979.38973122,0.4342538938662991,0.719799932499701
China,Retail,3586,2885,0.5282644729503625,2586990.385945343,0.3670753206915784,0.8302578953419263
China,Technology,6578,4472,0.5270151109759805,6930739.886135603,0.3857234417756157,1.3119660863672786
China,Education,1410,1303,0.5202690780141843,853352.1262411347,0.30415163120567373,0.47764630604773023
France,Education,389,388,0.5232629820051413,712556.3187660668,0.30630308483290486,0.4788841877629607
France,Agriculture,454,440,0.5232363436123347,1149912.3370044052,0.39960859030837004,0.5855727691770424
France,Energy,668,638,0.5225255988023952,5138840.685628743,0.4149374251497006,0.6598504016452804
France,Telecom,682,645,0.5208063049853373,4358165.854838709,0.3791800586510264,0.757133023453258
France,Manufacturing,1470,1342,0.5197219047619048,3617736.6149659865,0.43291081632653067,0.629535686880685
France,Financial Services,1418,1289,0.5188329337094499,7256690.054301834,0.3957397743300423,0.7741041457197864
France,Technology,1833,1619,0.5165606110201855,5805834.921440261,0.3736338243316967,1.2874105317616749
France,Retail,989,931,0.5130526794742164,2153210.107178969,0.3552930232558139,0.8149317520144976
France,Logistics,755,724,0.5129794701986755,2888378.459602649,0.4172303311258278,0.7117347017132473
France,Healthcare,1238,1156,0.4981333602584815,4260641.379644588,0.3266306946688207,0.6324707164419325
Germany,Financial Services,2242,1946,0.5333203835860839,7968633.845673506,0.40838354148082073,0.7891359600285981
Germany,Logistics,1260,1170,0.5310518253968254,3234786.55,0.43778500000000004,0.7233926407209385
Germany,Energy,1161,1077,0.5291013781223084,5781313.6528854435,0.4235542635658915,0.6697671553550747
Germany,Manufacturing,2465,2117,0.5261779310344828,3966061.730223124,0.4402305476673428,0.6362334874614343
Germany,Agriculture,782,751,0.5227613810741688,1220968.3925831201,0.4022970588235294,0.5767956768643365
Germany,Healthcare,1886,1666,0.5189367444326617,4741788.949628844,0.3430538706256628,0.6458988044260958
Germany,Retail,1586,1437,0.5161344892812105,2359312.0926860026,0.3567295712484237,0.8119766862305122
Germany,Telecom,1147,1075,0.5160479511769834,4735839.886660854,0.37836992153443766,0.7586394469869642
Germany,Education,683,656,0.5156696925329429,784938.5549048316,0.30281947291361644,0.47463674984720333
Germany,Technology,2828,2395,0.5112350424328147,6190411.855374823,0.37396453323903817,1.2855374204476278
India,Agriculture,661,633,0.5263107413010589,859572.1860816944,0.39683131618759454,0.5700499216930677
India,Manufacturing,2087,1845,0.5245469573550551,2622988.5045519886,0.4355759463344514,0.6356412940034594
India,Retail,1398,1284,0.5136246065808298,1554290.178111588,0.35243469241773967,0.8203730735868073
India,Telecom,989,930,0.5134223458038423,3106584.520728008,0.37156380182002025,0.7538428444007518
India,Logistics,1170,1094,0.5127943589743589,2062861.052991453,0.4165860683760684,0.7050839494625554
India,Technology,2519,2150,0.5102750297737197,4158047.593886463,0.3684683604605002,1.2912203841653291
India,Energy,972,915,0.5097680041152264,3631334.3477366255,0.4050015432098765,0.6401124221840667
India,Financial Services,1921,1712,0.5063306611140032,5139293.810515356,0.3834079646017699,0.7611635259592494
India,Healthcare,1627,1486,0.4956871542716656,3094054.9735709894,0.3223581438229871,0.6313968632881106
India,Education,567,553,0.4939559082892416,507800.8183421517,0.2860862433862434,0.4545748683783315
Japan,Agriculture,671,634,0.5435746646795827,1202415.789865872,0.41495126676602084,0.5897780491440701
Japan,Healthcare,1708,1556,0.5241838407494146,4377292.979508197,0.3435508782201405,0.6590393015464279
Japan,Energy,1061,987,0.5233577756833176,5111196.702167766,0.41656531573986805,0.6508230578431268
Japan,Education,573,557,0.5207787085514834,733945.2129144851,0.3028089005235602,0.47924081945301533
Japan,Retail,1421,1313,0.5169414496833216,2153132.6938775512,0.356834693877551,0.815499746502389
Japan,Financial Services,1979,1764,0.5159824658918646,7226102.988377969,0.3931420919656392,0.7685917528638979
Japan,Technology,2541,2187,0.5149947264856356,5711191.196772924,0.37483687524596615,1.2876761880436398
Japan,Logistics,1084,1010,0.5119843173431734,2889494.8920664205,0.4197397601476015,0.7147615251720916
Japan,Telecom,974,919,0.5066979466119097,4277340.180698152,0.365411704312115,0.7407938967031813
Japan,Manufacturing,2113,1855,0.5043676289635589,3581416.9564600093,0.4204354945575012,0.6153979428864145
Netherlands,Telecom,306,296,0.539974183006536,4413119.816993464,0.3916859477124183,0.7880370633773967
Netherlands,Financial Services,552,541,0.5343144927536232,7384490.092391305,0.4078856884057971,0.8054826915398439
Netherlands,Healthcare,477,452,0.5239607966457023,4282324.020964361,0.34165618448637314,0.649781538106147
Netherlands,Manufacturing,614,590,0.522058306188925,3557577.907166124,0.4325094462540716,0.6414562893349502
Netherlands,Agriculture,184,182,0.5210076086956521,1195756.0054347827,0.396033152173913,0.5531860084534032
Netherlands,Retail,410,403,0.5119831707317073,2189272.7731707315,0.35439414634146343,0.8047201323204707
Netherlands,Logistics,333,325,0.5041981981981982,2785035.1981981983,0.4132684684684685,0.6765073284089187
Netherlands,Education,155,150,0.5028077419354838,694099.0838709677,0.2920458064516129,0.45146855066376584
Netherlands,Technology,743,695,0.5024711978465679,5405239.437415882,0.36284360699865414,1.2677746703297947
Netherlands,Energy,258,252,0.4931220930232558,4870300.798449612,0.39741627906976745,0.6534921935025668
Singapore,Retail,413,402,0.5529016949152542,2706125.995157385,0.3874898305084746,0.8675729102415103
Singapore,Logistics,300,296,0.5508273333333333,3667912.75,0.4542876666666667,0.7397695273129202
Singapore,Education,193,188,0.5441849740932643,898575.8549222798,0.3222906735751295,0.487732518206189
Singapore,Financial Services,562,539,0.5435966192170819,8863769.074733095,0.4201683274021352,0.809766010258145
Singapore,Healthcare,467,457,0.5402796573875803,5304136.781584582,0.3576042826552463,0.663507374960967
Singapore,Agriculture,191,187,0.5366471204188482,1360888.1518324607,0.4170460732984293,0.5672836993841323
Singapore,Manufacturing,552,534,0.5309061594202898,4394651.411231884,0.4478403985507246,0.6505817999166587
Singapore,Telecom,289,287,0.525132525951557,5143393.716262976,0.3839287197231834,0.7587209904902444
Singapore,Energy,271,265,0.5233129151291513,6241404.3099631,0.4244346863468635,0.6498593427068374
Singapore,Technology,720,694,0.5186119444444445,6909268.158333333,0.3840336111111112,1.3066077336081037
South Korea,Telecom,547,525,0.5357468007312614,4446562.762340036,0.3884305301645338,0.7742724685936204
South Korea,Financial Services,1111,1045,0.5255914491449145,7275575.98649865,0.4002787578757876,0.774553962492198
South Korea,Technology,1492,1368,0.5219449731903485,5766189.376005362,0.3789077747989277,1.2992974710344176
South Korea,Logistics,656,637,0.5209946646341463,2897879.362804878,0.4243266768292683,0.7205140085462447
South Korea,Energy,553,539,0.519728390596745,5184981.6329113925,0.4155602169981917,0.6652229848749533
South Korea,Retail,814,773,0.5133054054054054,2118145.584766585,0.3546356265356266,0.8151337599751731
South Korea,Education,296,289,0.5129131756756757,694430.4594594594,0.2987570945945946,0.47648458816453976
South Korea,Manufacturing,1185,1103,0.507284135021097,3598927.9493670887,0.42347215189873416,0.6332657549898241
South Korea,Healthcare,948,891,0.5069370253164557,4206536.566455696,0.3337633966244726,0.6523137884256056
South Korea,Agriculture,431,419,0.4988779582366589,1093595.1461716937,0.3794190255220417,0.546934164348574
Sweden,Energy,277,275,0.550468953068592,5799323.093862816,0.4438097472924188,0.7011936119318364
Sweden,Retail,372,364,0.5447233870967743,2457851.806451613,0.38253279569892473,0.8346793700726787
Sweden,Technology,736,700,0.5386872282608696,6509116.620923913,0.3951885869565217,1.3631659790122164
Sweden,Manufacturing,660,638,0.533194696969697,4110707.7636363637,0.44568227272727273,0.6495109964721362
Sweden,Healthcare,484,474,0.5308537190082645,4660073.435950413,0.35144545454545456,0.6602475321038713
Sweden,Logistics,341,335,0.5286041055718474,3175750.8944281526,0.43172170087976536,0.7177421592169492
Sweden,Financial Services,537,524,0.5142577281191807,7818776.3500931095,0.39402811918063313,0.7895473318084973
Sweden,Agriculture,203,202,0.5111216748768473,1230761.945812808,0.39284039408866994,0.5545928616389543
Sweden,Education,169,168,0.5098532544378698,776820.325443787,0.30145147928994087,0.45271079648670903
Sweden,Telecom,278,276,0.5017140287769783,4646132.78057554,0.37296438848920865,0.7606772751061771
UAE,Agriculture,100,100,0.550974,1103695.22,0.410266,0.5971636736616697
UAE,Technology,353,348,0.5138053824362606,5040629.57223796,0.3702784702549575,1.3441107583642582
UAE,Financial Services,265,259,0.5108916981132076,6401706.090566038,0.3790577358490566,0.7680092549331146
UAE,Manufacturing,296,291,0.5073935810810811,3221656.0743243243,0.4141060810810811,0.6074622667465345
UAE,Energy,138,137,0.5055963768115942,4174374.427536232,0.3941673913043478,0.6820246698520805
UAE,Healthcare,242,239,0.5054917355371901,3807984.1363636362,0.32668842975206613,0.632737575799855
UAE,Education,96,96,0.49830625,623719.9166666666,0.28168541666666663,0.4465210270496917
UAE,Retail,195,194,0.4949046153846154,1866763.7538461538,0.3404758974358974,0.782054765825772
UAE,Telecom,140,138,0.4790707142857143,3687732.407142857,0.3517392857142857,0.7234477601088634
UAE,Logistics,143,139,0.4575832167832168,2454222.4055944057,0.36751468531468534,0.6559649415304576
United Kingdom,Logistics,1132,1051,0.5422597173144876,3299192.3445229684,0.4470368374558304,0.7286119242705918
United Kingdom,Education,536,518,0.540526119402985,790422.0802238806,0.32407518656716416,0.4781816710042566
United Kingdom,Technology,2493,2128,0.5367061371841155,6513183.928198957,0.39369418371440035,1.3532835979008493
United Kingdom,Financial Services,1990,1748,0.5358662311557789,8036853.638190955,0.41382271356783923,0.792481571243811
United Kingdom,Healthcare,1773,1577,0.5354189509306261,4873332.645234067,0.3568521714608009,0.6659955972694345
United Kingdom,Retail,1407,1293,0.5342894100923952,2412186.3475479744,0.37331130063965884,0.8454365596404203
United Kingdom,Agriculture,677,645,0.5318742983751846,1263887.716395864,0.41035036927621865,0.5751209310790054
United Kingdom,Manufacturing,2047,1798,0.529733268197362,3963345.100146556,0.4453199804592086,0.6456465821458085
United Kingdom,Telecom,992,942,0.5292110887096774,4798016.866935484,0.3920644153225807,0.7797957554836425
United Kingdom,Energy,942,896,0.5255202760084926,5570850.0477707,0.42552887473460727,0.6685341900901755
United States,Healthcare,5979,4195,0.554015688242181,6202814.718180298,0.3720204716507777,0.6786986172943814
United States,Energy,3579,2863,0.5494506566079911,7191179.257893266,0.44609259569712206,0.6977765787555991
United States,Manufacturing,7535,4892,0.5478421499668215,5083864.487989383,0.46406525547445254,0.659014126856892
United States,Retail,5083,3719,0.5476202242770019,3067375.2638205783,0.3874716899468818,0.8580772821543617
United States,Logistics,4031,3158,0.5465185561895312,4092719.9880922846,0.4534090052096254,0.7427441905053762
United States,Telecom,3585,2874,0.5464756485355649,6074884.969874477,0.4046402510460251,0.7842994051258084
United States,Financial Services,6983,4634,0.5450126163540026,10304631.135328656,0.42409829586137765,0.8005278172583365
United States,Technology,8806,5350,0.5447396207131502,8133203.742107654,0.4044147740177152,1.3497389060078147
United States,Agriculture,2522,2189,0.5445929024583663,1656688.4682791436,0.4230521015067407,0.5904984334182023
United States,Education,1977,1743,0.5359980778958018,1003722.3115832069,0.32188715225088516,0.48408712384817987
